"Vaccinedato","Regionsnavn","Kumulerede antal færdigvacc.","Antal borgere","Vaccinations dækning (%)"
2021-01-04,Hovedstaden,0,1857354,0.00
2021-01-09,Hovedstaden,1,1857354,0.00
2021-01-13,Hovedstaden,2,1857354,0.00
2021-01-15,Hovedstaden,7,1857354,0.00
2021-01-16,Hovedstaden,7,1857354,0.00
2021-01-17,Hovedstaden,44,1857354,0.00
2021-01-18,Hovedstaden,180,1857354,0.01
2021-01-19,Hovedstaden,346,1857354,0.02
2021-01-20,Hovedstaden,472,1857354,0.03
2021-01-21,Hovedstaden,587,1857354,0.03
2021-01-22,Hovedstaden,663,1857354,0.04
2021-01-23,Hovedstaden,4770,1857354,0.26
2021-01-24,Hovedstaden,8760,1857354,0.47
2021-01-25,Hovedstaden,9006,1857354,0.48
2021-01-26,Hovedstaden,9143,1857354,0.49
2021-01-27,Hovedstaden,9774,1857354,0.53
2021-01-28,Hovedstaden,13541,1857354,0.73
2021-01-29,Hovedstaden,21065,1857354,1.13
2021-01-30,Hovedstaden,25648,1857354,1.38
2021-01-31,Hovedstaden,28256,1857354,1.52
2021-02-01,Hovedstaden,30146,1857354,1.62
2021-02-02,Hovedstaden,30258,1857354,1.63
2021-02-03,Hovedstaden,33238,1857354,1.79
2021-02-04,Hovedstaden,39722,1857354,2.14
2021-02-05,Hovedstaden,44596,1857354,2.40
2021-02-06,Hovedstaden,47617,1857354,2.56
2021-02-07,Hovedstaden,48186,1857354,2.59
2021-02-08,Hovedstaden,49322,1857354,2.66
2021-02-09,Hovedstaden,49354,1857354,2.66
2021-02-10,Hovedstaden,50289,1857354,2.71
2021-02-11,Hovedstaden,50530,1857354,2.72
2021-02-12,Hovedstaden,54696,1857354,2.94
2021-02-13,Hovedstaden,54703,1857354,2.95
2021-02-14,Hovedstaden,54714,1857354,2.95
2021-02-15,Hovedstaden,56089,1857354,3.02
2021-02-16,Hovedstaden,56500,1857354,3.04
2021-02-17,Hovedstaden,56532,1857354,3.04
2021-02-18,Hovedstaden,56605,1857354,3.05
2021-02-19,Hovedstaden,56654,1857354,3.05
2021-02-20,Hovedstaden,56755,1857354,3.06
2021-02-21,Hovedstaden,56860,1857354,3.06
2021-02-22,Hovedstaden,57005,1857354,3.07
2021-02-23,Hovedstaden,57158,1857354,3.08
2021-02-24,Hovedstaden,57224,1857354,3.08
2021-02-25,Hovedstaden,57256,1857354,3.08
2021-02-26,Hovedstaden,57317,1857354,3.09
2021-02-27,Hovedstaden,58431,1857354,3.15
2021-02-28,Hovedstaden,59575,1857354,3.21
2021-03-01,Hovedstaden,59796,1857354,3.22
2021-03-02,Hovedstaden,60050,1857354,3.23
2021-03-03,Hovedstaden,60090,1857354,3.24
2021-03-04,Hovedstaden,60287,1857354,3.25
2021-03-05,Hovedstaden,60549,1857354,3.26
2021-03-06,Hovedstaden,60643,1857354,3.27
2021-03-07,Hovedstaden,60962,1857354,3.28
2021-03-08,Hovedstaden,61199,1857354,3.29
2021-03-09,Hovedstaden,62664,1857354,3.37
2021-03-10,Hovedstaden,64362,1857354,3.47
2021-03-11,Hovedstaden,68770,1857354,3.70
2021-03-12,Hovedstaden,73626,1857354,3.96
2021-03-13,Hovedstaden,73712,1857354,3.97
2021-03-14,Hovedstaden,76952,1857354,4.14
2021-03-15,Hovedstaden,79719,1857354,4.29
2021-03-16,Hovedstaden,83263,1857354,4.48
2021-03-17,Hovedstaden,87703,1857354,4.72
2021-03-18,Hovedstaden,92123,1857354,4.96
2021-03-19,Hovedstaden,93294,1857354,5.02
2021-03-20,Hovedstaden,93377,1857354,5.03
2021-03-21,Hovedstaden,95465,1857354,5.14
2021-03-22,Hovedstaden,95549,1857354,5.14
2021-03-23,Hovedstaden,95653,1857354,5.15
2021-03-24,Hovedstaden,104268,1857354,5.61
2021-03-25,Hovedstaden,108813,1857354,5.86
2021-03-26,Hovedstaden,111509,1857354,6.00
2021-03-27,Hovedstaden,111551,1857354,6.01
2021-03-28,Hovedstaden,111584,1857354,6.01
2021-03-29,Hovedstaden,112146,1857354,6.04
2021-03-30,Hovedstaden,112426,1857354,6.05
2021-03-31,Hovedstaden,116232,1857354,6.26
2021-04-01,Hovedstaden,120959,1857354,6.51
2021-04-02,Hovedstaden,124694,1857354,6.71
2021-04-03,Hovedstaden,124781,1857354,6.72
2021-04-04,Hovedstaden,124820,1857354,6.72
2021-04-05,Hovedstaden,124855,1857354,6.72
2021-04-06,Hovedstaden,125040,1857354,6.73
2021-04-07,Hovedstaden,125623,1857354,6.76
2021-04-08,Hovedstaden,127302,1857354,6.85
2021-04-09,Hovedstaden,130723,1857354,7.04
2021-04-10,Hovedstaden,132020,1857354,7.11
2021-04-11,Hovedstaden,132155,1857354,7.12
2021-04-12,Hovedstaden,139046,1857354,7.49
2021-04-13,Hovedstaden,140122,1857354,7.54
2021-04-14,Hovedstaden,144679,1857354,7.79
2021-04-15,Hovedstaden,146239,1857354,7.87
2021-04-16,Hovedstaden,149279,1857354,8.04
2021-04-17,Hovedstaden,149481,1857354,8.05
2021-04-18,Hovedstaden,149661,1857354,8.06
2021-04-19,Hovedstaden,151719,1857354,8.17
2021-04-20,Hovedstaden,156742,1857354,8.44
2021-04-21,Hovedstaden,160511,1857354,8.64
2021-04-22,Hovedstaden,160646,1857354,8.65
2021-04-23,Hovedstaden,167618,1857354,9.02
2021-04-24,Hovedstaden,169610,1857354,9.13
2021-04-25,Hovedstaden,169926,1857354,9.15
2021-04-26,Hovedstaden,173089,1857354,9.32
2021-04-27,Hovedstaden,182809,1857354,9.84
2021-04-28,Hovedstaden,191014,1857354,10.3
2021-04-29,Hovedstaden,198242,1857354,10.7
2021-04-30,Hovedstaden,198454,1857354,10.7
2021-05-01,Hovedstaden,198921,1857354,10.7
2021-05-02,Hovedstaden,207525,1857354,11.2
2021-05-03,Hovedstaden,215502,1857354,11.6
2021-05-04,Hovedstaden,224158,1857354,12.1
2021-05-05,Hovedstaden,236175,1857354,12.7
2021-05-06,Hovedstaden,246196,1857354,13.3
2021-05-07,Hovedstaden,253742,1857354,13.7
2021-05-08,Hovedstaden,273454,1857354,14.7
2021-05-09,Hovedstaden,281616,1857354,15.2
2021-05-10,Hovedstaden,287168,1857354,15.5
2021-05-11,Hovedstaden,293337,1857354,15.8
2021-05-12,Hovedstaden,298926,1857354,16.1
2021-05-13,Hovedstaden,309552,1857354,16.7
2021-05-14,Hovedstaden,317331,1857354,17.1
2021-05-15,Hovedstaden,324203,1857354,17.5
2021-05-16,Hovedstaden,327656,1857354,17.6
2021-05-17,Hovedstaden,334799,1857354,18.0
2021-05-18,Hovedstaden,343733,1857354,18.5
2021-05-19,Hovedstaden,346478,1857354,18.7
2021-05-20,Hovedstaden,352366,1857354,19.0
2021-05-21,Hovedstaden,359271,1857354,19.3
2021-05-22,Hovedstaden,362272,1857354,19.5
2021-05-23,Hovedstaden,363517,1857354,19.6
2021-05-24,Hovedstaden,364500,1857354,19.6
2021-05-25,Hovedstaden,366771,1857354,19.7
2021-05-26,Hovedstaden,369574,1857354,19.9
2021-05-27,Hovedstaden,372600,1857354,20.1
2021-05-28,Hovedstaden,374232,1857354,20.1
2021-05-29,Hovedstaden,376010,1857354,20.2
2021-05-30,Hovedstaden,380187,1857354,20.5
2021-05-31,Hovedstaden,388911,1857354,20.9
2021-06-01,Hovedstaden,395784,1857354,21.3
2021-06-02,Hovedstaden,402635,1857354,21.7
2021-06-03,Hovedstaden,413921,1857354,22.3
2021-06-04,Hovedstaden,416652,1857354,22.4
2021-06-05,Hovedstaden,417844,1857354,22.5
2021-06-06,Hovedstaden,426621,1857354,23.0
2021-06-07,Hovedstaden,438497,1857354,23.6
2021-06-08,Hovedstaden,446782,1857354,24.1
2021-06-09,Hovedstaden,456044,1857354,24.6
2021-06-10,Hovedstaden,458478,1857354,24.7
2021-06-11,Hovedstaden,460916,1857354,24.8
2021-06-12,Hovedstaden,462389,1857354,24.9
2021-06-13,Hovedstaden,464307,1857354,25.0
2021-06-14,Hovedstaden,466348,1857354,25.1
2021-06-15,Hovedstaden,467880,1857354,25.2
2021-01-04,Midtjylland,0,1335003,0.00
2021-01-09,Midtjylland,0,1335003,0.00
2021-01-13,Midtjylland,0,1335003,0.00
2021-01-15,Midtjylland,0,1335003,0.00
2021-01-16,Midtjylland,7,1335003,0.00
2021-01-17,Midtjylland,8,1335003,0.00
2021-01-18,Midtjylland,174,1335003,0.01
2021-01-19,Midtjylland,183,1335003,0.01
2021-01-20,Midtjylland,281,1335003,0.02
2021-01-21,Midtjylland,858,1335003,0.06
2021-01-22,Midtjylland,2026,1335003,0.15
2021-01-23,Midtjylland,3055,1335003,0.23
2021-01-24,Midtjylland,4333,1335003,0.32
2021-01-25,Midtjylland,4497,1335003,0.34
2021-01-26,Midtjylland,4543,1335003,0.34
2021-01-27,Midtjylland,5662,1335003,0.42
2021-01-28,Midtjylland,7435,1335003,0.56
2021-01-29,Midtjylland,11215,1335003,0.84
2021-01-30,Midtjylland,13797,1335003,1.03
2021-01-31,Midtjylland,19862,1335003,1.49
2021-02-01,Midtjylland,21344,1335003,1.60
2021-02-02,Midtjylland,22346,1335003,1.67
2021-02-03,Midtjylland,23722,1335003,1.78
2021-02-04,Midtjylland,25485,1335003,1.91
2021-02-05,Midtjylland,27874,1335003,2.09
2021-02-06,Midtjylland,28357,1335003,2.12
2021-02-07,Midtjylland,28432,1335003,2.13
2021-02-08,Midtjylland,31080,1335003,2.33
2021-02-09,Midtjylland,33689,1335003,2.52
2021-02-10,Midtjylland,35567,1335003,2.66
2021-02-11,Midtjylland,37154,1335003,2.78
2021-02-12,Midtjylland,38159,1335003,2.86
2021-02-13,Midtjylland,38195,1335003,2.86
2021-02-14,Midtjylland,38222,1335003,2.86
2021-02-15,Midtjylland,38689,1335003,2.90
2021-02-16,Midtjylland,38920,1335003,2.92
2021-02-17,Midtjylland,39037,1335003,2.92
2021-02-18,Midtjylland,39104,1335003,2.93
2021-02-19,Midtjylland,39213,1335003,2.94
2021-02-20,Midtjylland,39216,1335003,2.94
2021-02-21,Midtjylland,39259,1335003,2.94
2021-02-22,Midtjylland,39623,1335003,2.97
2021-02-23,Midtjylland,39898,1335003,2.99
2021-02-24,Midtjylland,40119,1335003,3.01
2021-02-25,Midtjylland,40275,1335003,3.02
2021-02-26,Midtjylland,40665,1335003,3.05
2021-02-27,Midtjylland,40668,1335003,3.05
2021-02-28,Midtjylland,40670,1335003,3.05
2021-03-01,Midtjylland,40817,1335003,3.06
2021-03-02,Midtjylland,40997,1335003,3.07
2021-03-03,Midtjylland,41214,1335003,3.09
2021-03-04,Midtjylland,41831,1335003,3.13
2021-03-05,Midtjylland,44462,1335003,3.33
2021-03-06,Midtjylland,46000,1335003,3.45
2021-03-07,Midtjylland,47123,1335003,3.53
2021-03-08,Midtjylland,50567,1335003,3.79
2021-03-09,Midtjylland,53346,1335003,4.00
2021-03-10,Midtjylland,55113,1335003,4.13
2021-03-11,Midtjylland,56381,1335003,4.22
2021-03-12,Midtjylland,57391,1335003,4.30
2021-03-13,Midtjylland,57977,1335003,4.34
2021-03-14,Midtjylland,58186,1335003,4.36
2021-03-15,Midtjylland,60988,1335003,4.57
2021-03-16,Midtjylland,64521,1335003,4.83
2021-03-17,Midtjylland,67357,1335003,5.05
2021-03-18,Midtjylland,68521,1335003,5.13
2021-03-19,Midtjylland,71595,1335003,5.36
2021-03-20,Midtjylland,71618,1335003,5.36
2021-03-21,Midtjylland,71631,1335003,5.37
2021-03-22,Midtjylland,74407,1335003,5.57
2021-03-23,Midtjylland,77792,1335003,5.83
2021-03-24,Midtjylland,79531,1335003,5.96
2021-03-25,Midtjylland,81272,1335003,6.09
2021-03-26,Midtjylland,82684,1335003,6.19
2021-03-27,Midtjylland,82861,1335003,6.21
2021-03-28,Midtjylland,83024,1335003,6.22
2021-03-29,Midtjylland,85471,1335003,6.40
2021-03-30,Midtjylland,88437,1335003,6.62
2021-03-31,Midtjylland,90107,1335003,6.75
2021-04-01,Midtjylland,90487,1335003,6.78
2021-04-02,Midtjylland,90820,1335003,6.80
2021-04-03,Midtjylland,90862,1335003,6.81
2021-04-04,Midtjylland,90919,1335003,6.81
2021-04-05,Midtjylland,91070,1335003,6.82
2021-04-06,Midtjylland,93074,1335003,6.97
2021-04-07,Midtjylland,96945,1335003,7.26
2021-04-08,Midtjylland,99400,1335003,7.45
2021-04-09,Midtjylland,100703,1335003,7.54
2021-04-10,Midtjylland,101438,1335003,7.60
2021-04-11,Midtjylland,102225,1335003,7.66
2021-04-12,Midtjylland,104119,1335003,7.80
2021-04-13,Midtjylland,105870,1335003,7.93
2021-04-14,Midtjylland,108273,1335003,8.11
2021-04-15,Midtjylland,111350,1335003,8.34
2021-04-16,Midtjylland,112799,1335003,8.45
2021-04-17,Midtjylland,112841,1335003,8.45
2021-04-18,Midtjylland,112873,1335003,8.45
2021-04-19,Midtjylland,117738,1335003,8.82
2021-04-20,Midtjylland,122277,1335003,9.16
2021-04-21,Midtjylland,127988,1335003,9.59
2021-04-22,Midtjylland,130646,1335003,9.79
2021-04-23,Midtjylland,132565,1335003,9.93
2021-04-24,Midtjylland,132633,1335003,9.94
2021-04-25,Midtjylland,132661,1335003,9.94
2021-04-26,Midtjylland,133492,1335003,10.0
2021-04-27,Midtjylland,137268,1335003,10.3
2021-04-28,Midtjylland,143130,1335003,10.7
2021-04-29,Midtjylland,148620,1335003,11.1
2021-04-30,Midtjylland,149274,1335003,11.2
2021-05-01,Midtjylland,149347,1335003,11.2
2021-05-02,Midtjylland,149381,1335003,11.2
2021-05-03,Midtjylland,158238,1335003,11.9
2021-05-04,Midtjylland,166614,1335003,12.5
2021-05-05,Midtjylland,175486,1335003,13.1
2021-05-06,Midtjylland,183037,1335003,13.7
2021-05-07,Midtjylland,188986,1335003,14.2
2021-05-08,Midtjylland,189222,1335003,14.2
2021-05-09,Midtjylland,189301,1335003,14.2
2021-05-10,Midtjylland,196370,1335003,14.7
2021-05-11,Midtjylland,203967,1335003,15.3
2021-05-12,Midtjylland,213310,1335003,16.0
2021-05-13,Midtjylland,215978,1335003,16.2
2021-05-14,Midtjylland,225069,1335003,16.9
2021-05-15,Midtjylland,225388,1335003,16.9
2021-05-16,Midtjylland,225627,1335003,16.9
2021-05-17,Midtjylland,235740,1335003,17.7
2021-05-18,Midtjylland,243557,1335003,18.2
2021-05-19,Midtjylland,250453,1335003,18.8
2021-05-20,Midtjylland,257568,1335003,19.3
2021-05-21,Midtjylland,260763,1335003,19.5
2021-05-22,Midtjylland,260876,1335003,19.5
2021-05-23,Midtjylland,261179,1335003,19.6
2021-05-24,Midtjylland,262349,1335003,19.7
2021-05-25,Midtjylland,265797,1335003,19.9
2021-05-26,Midtjylland,268783,1335003,20.1
2021-05-27,Midtjylland,271365,1335003,20.3
2021-05-28,Midtjylland,273232,1335003,20.5
2021-05-29,Midtjylland,273318,1335003,20.5
2021-05-30,Midtjylland,273402,1335003,20.5
2021-05-31,Midtjylland,279062,1335003,20.9
2021-06-01,Midtjylland,282360,1335003,21.2
2021-06-02,Midtjylland,287410,1335003,21.5
2021-06-03,Midtjylland,293893,1335003,22.0
2021-06-04,Midtjylland,297848,1335003,22.3
2021-06-05,Midtjylland,298243,1335003,22.3
2021-06-06,Midtjylland,298817,1335003,22.4
2021-06-07,Midtjylland,304094,1335003,22.8
2021-06-08,Midtjylland,310031,1335003,23.2
2021-06-09,Midtjylland,314696,1335003,23.6
2021-06-10,Midtjylland,322578,1335003,24.2
2021-06-11,Midtjylland,328366,1335003,24.6
2021-06-12,Midtjylland,330176,1335003,24.7
2021-06-13,Midtjylland,330939,1335003,24.8
2021-06-14,Midtjylland,342032,1335003,25.6
2021-06-15,Midtjylland,350908,1335003,26.3
2021-01-04,NA,0,0,0.00
2021-01-09,NA,0,0,0.00
2021-01-13,NA,0,0,0.00
2021-01-15,NA,0,0,0.00
2021-01-16,NA,0,0,0.00
2021-01-17,NA,0,0,0.00
2021-01-18,NA,0,0,0.00
2021-01-19,NA,0,0,0.00
2021-01-20,NA,0,0,0.00
2021-01-21,NA,0,0,0.00
2021-01-22,NA,0,0,0.00
2021-01-23,NA,0,0,0.00
2021-01-24,NA,0,0,0.00
2021-01-25,NA,0,0,0.00
2021-01-26,NA,0,0,0.00
2021-01-27,NA,0,0,0.00
2021-01-28,NA,0,0,0.00
2021-01-29,NA,0,0,0.00
2021-01-30,NA,0,0,0.00
2021-01-31,NA,0,0,0.00
2021-02-01,NA,0,0,0.00
2021-02-02,NA,0,0,0.00
2021-02-03,NA,0,0,0.00
2021-02-04,NA,0,0,0.00
2021-02-05,NA,0,0,0.00
2021-02-06,NA,0,0,0.00
2021-02-07,NA,0,0,0.00
2021-02-08,NA,0,0,0.00
2021-02-09,NA,0,0,0.00
2021-02-10,NA,0,0,0.00
2021-02-11,NA,0,0,0.00
2021-02-12,NA,0,0,0.00
2021-02-13,NA,0,0,0.00
2021-02-14,NA,0,0,0.00
2021-02-15,NA,0,0,0.00
2021-02-16,NA,0,0,0.00
2021-02-17,NA,0,0,0.00
2021-02-18,NA,0,0,0.00
2021-02-19,NA,0,0,0.00
2021-02-20,NA,0,0,0.00
2021-02-21,NA,0,0,0.00
2021-02-22,NA,0,0,0.00
2021-02-23,NA,0,0,0.00
2021-02-24,NA,0,0,0.00
2021-02-25,NA,0,0,0.00
2021-02-26,NA,0,0,0.00
2021-02-27,NA,0,0,0.00
2021-02-28,NA,0,0,0.00
2021-03-01,NA,0,0,0.00
2021-03-02,NA,0,0,0.00
2021-03-03,NA,0,0,0.00
2021-03-04,NA,0,0,0.00
2021-03-05,NA,0,0,0.00
2021-03-06,NA,0,0,0.00
2021-03-07,NA,0,0,0.00
2021-03-08,NA,0,0,0.00
2021-03-09,NA,0,0,0.00
2021-03-10,NA,0,0,0.00
2021-03-11,NA,0,0,0.00
2021-03-12,NA,0,0,0.00
2021-03-13,NA,0,0,0.00
2021-03-14,NA,0,0,0.00
2021-03-15,NA,0,0,0.00
2021-03-16,NA,0,0,0.00
2021-03-17,NA,0,0,0.00
2021-03-18,NA,0,0,0.00
2021-03-19,NA,0,0,0.00
2021-03-20,NA,0,0,0.00
2021-03-21,NA,0,0,0.00
2021-03-22,NA,0,0,0.00
2021-03-23,NA,0,0,0.00
2021-03-24,NA,0,0,0.00
2021-03-25,NA,0,0,0.00
2021-03-26,NA,0,0,0.00
2021-03-27,NA,0,0,0.00
2021-03-28,NA,0,0,0.00
2021-03-29,NA,0,0,0.00
2021-03-30,NA,0,0,0.00
2021-03-31,NA,0,0,0.00
2021-04-01,NA,0,0,0.00
2021-04-02,NA,0,0,0.00
2021-04-03,NA,0,0,0.00
2021-04-04,NA,0,0,0.00
2021-04-05,NA,0,0,0.00
2021-04-06,NA,0,0,0.00
2021-04-07,NA,0,0,0.00
2021-04-08,NA,0,0,0.00
2021-04-09,NA,0,0,0.00
2021-04-10,NA,0,0,0.00
2021-04-11,NA,0,0,0.00
2021-04-12,NA,0,0,0.00
2021-04-13,NA,0,0,0.00
2021-04-14,NA,0,0,0.00
2021-04-15,NA,0,0,0.00
2021-04-16,NA,0,0,0.00
2021-04-17,NA,0,0,0.00
2021-04-18,NA,0,0,0.00
2021-04-19,NA,0,0,0.00
2021-04-20,NA,0,0,0.00
2021-04-21,NA,0,0,0.00
2021-04-22,NA,0,0,0.00
2021-04-23,NA,0,0,0.00
2021-04-24,NA,0,0,0.00
2021-04-25,NA,0,0,0.00
2021-04-26,NA,0,0,0.00
2021-04-27,NA,0,0,0.00
2021-04-28,NA,0,0,0.00
2021-04-29,NA,0,0,0.00
2021-04-30,NA,0,0,0.00
2021-05-01,NA,0,0,0.00
2021-05-02,NA,0,0,0.00
2021-05-03,NA,0,0,0.00
2021-05-04,NA,0,0,0.00
2021-05-05,NA,0,0,0.00
2021-05-06,NA,0,0,0.00
2021-05-07,NA,0,0,0.00
2021-05-08,NA,0,0,0.00
2021-05-09,NA,0,0,0.00
2021-05-10,NA,0,0,0.00
2021-05-11,NA,0,0,0.00
2021-05-12,NA,0,0,0.00
2021-05-13,NA,0,0,0.00
2021-05-14,NA,0,0,0.00
2021-05-15,NA,0,0,0.00
2021-05-16,NA,0,0,0.00
2021-05-17,NA,0,0,0.00
2021-05-18,NA,0,0,0.00
2021-05-19,NA,0,0,0.00
2021-05-20,NA,0,0,0.00
2021-05-21,NA,0,0,0.00
2021-05-22,NA,0,0,0.00
2021-05-23,NA,0,0,0.00
2021-05-24,NA,0,0,0.00
2021-05-25,NA,0,0,0.00
2021-05-26,NA,0,0,0.00
2021-05-27,NA,0,0,0.00
2021-05-28,NA,0,0,0.00
2021-05-29,NA,0,0,0.00
2021-05-30,NA,0,0,0.00
2021-05-31,NA,0,0,0.00
2021-06-01,NA,0,0,0.00
2021-06-02,NA,0,0,0.00
2021-06-03,NA,0,0,0.00
2021-06-04,NA,0,0,0.00
2021-06-05,NA,0,0,0.00
2021-06-06,NA,0,0,0.00
2021-06-07,NA,0,0,0.00
2021-06-08,NA,0,0,0.00
2021-06-09,NA,0,0,0.00
2021-06-10,NA,0,0,0.00
2021-06-11,NA,0,0,0.00
2021-06-12,NA,0,0,0.00
2021-06-13,NA,0,0,0.00
2021-06-14,NA,0,0,0.00
2021-06-15,NA,0,0,0.00
2021-01-04,Nordjylland,0,590237,0.00
2021-01-09,Nordjylland,0,590237,0.00
2021-01-13,Nordjylland,0,590237,0.00
2021-01-15,Nordjylland,0,590237,0.00
2021-01-16,Nordjylland,0,590237,0.00
2021-01-17,Nordjylland,1,590237,0.00
2021-01-18,Nordjylland,4,590237,0.00
2021-01-19,Nordjylland,6,590237,0.00
2021-01-20,Nordjylland,9,590237,0.00
2021-01-21,Nordjylland,18,590237,0.00
2021-01-22,Nordjylland,2480,590237,0.42
2021-01-23,Nordjylland,3812,590237,0.65
2021-01-24,Nordjylland,4440,590237,0.75
2021-01-25,Nordjylland,4452,590237,0.75
2021-01-26,Nordjylland,4607,590237,0.78
2021-01-27,Nordjylland,4830,590237,0.82
2021-01-28,Nordjylland,5352,590237,0.91
2021-01-29,Nordjylland,7254,590237,1.23
2021-01-30,Nordjylland,9076,590237,1.54
2021-01-31,Nordjylland,10651,590237,1.80
2021-02-01,Nordjylland,11238,590237,1.90
2021-02-02,Nordjylland,11602,590237,1.97
2021-02-03,Nordjylland,12132,590237,2.06
