"Vaccinedato","geo","Antal færdigvacc. personer","Antal borgere","Færdigvacc. (%)","Kumuleret antal færdigvacc."
2021-01-04,Nationalt,1,5848238,0.00,1
2021-01-09,Nationalt,1,5848238,0.00,2
2021-01-13,Nationalt,1,5848238,0.00,3
2021-01-15,Nationalt,5,5848238,0.00,8
2021-01-16,Nationalt,8,5848238,0.00,16
2021-01-17,Nationalt,684,5848238,0.01,700
2021-01-18,Nationalt,2090,5848238,0.05,2790
2021-01-19,Nationalt,2029,5848238,0.08,4819
2021-01-20,Nationalt,1833,5848238,0.11,6652
2021-01-21,Nationalt,2301,5848238,0.15,8953
2021-01-22,Nationalt,5607,5848238,0.25,14560
2021-01-23,Nationalt,7004,5848238,0.37,21564
2021-01-24,Nationalt,6389,5848238,0.48,27953
2021-01-25,Nationalt,2444,5848238,0.52,30397
2021-01-26,Nationalt,1708,5848238,0.55,32105
2021-01-27,Nationalt,4304,5848238,0.62,36409
2021-01-28,Nationalt,8071,5848238,0.76,44480
2021-01-29,Nationalt,18083,5848238,1.07,62563
2021-01-30,Nationalt,12713,5848238,1.29,75276
2021-01-31,Nationalt,12031,5848238,1.49,87307
2021-02-01,Nationalt,7798,5848238,1.63,95105
2021-02-02,Nationalt,2990,5848238,1.68,98095
2021-02-03,Nationalt,6140,5848238,1.78,104235
2021-02-04,Nationalt,10839,5848238,1.97,115074
2021-02-05,Nationalt,13304,5848238,2.20,128378
2021-02-06,Nationalt,6720,5848238,2.31,135098
2021-02-07,Nationalt,3616,5848238,2.37,138714
2021-02-08,Nationalt,6989,5848238,2.49,145703
2021-02-09,Nationalt,4850,5848238,2.57,150553
2021-02-10,Nationalt,3879,5848238,2.64,154432
2021-02-11,Nationalt,2452,5848238,2.68,156884
2021-02-12,Nationalt,7616,5848238,2.81,164500
2021-02-13,Nationalt,966,5848238,2.83,165466
2021-02-14,Nationalt,625,5848238,2.84,166091
2021-02-15,Nationalt,3128,5848238,2.89,169219
2021-02-16,Nationalt,1333,5848238,2.92,170552
2021-02-17,Nationalt,427,5848238,2.92,170979
2021-02-18,Nationalt,308,5848238,2.93,171287
2021-02-19,Nationalt,967,5848238,2.95,172254
2021-02-20,Nationalt,584,5848238,2.96,172838
2021-02-21,Nationalt,361,5848238,2.96,173199
2021-02-22,Nationalt,1105,5848238,2.98,174304
2021-02-23,Nationalt,1939,5848238,3.01,176243
2021-02-24,Nationalt,1949,5848238,3.05,178192
2021-02-25,Nationalt,632,5848238,3.06,178824
2021-02-26,Nationalt,1007,5848238,3.07,179831
2021-02-27,Nationalt,1450,5848238,3.10,181281
2021-02-28,Nationalt,1411,5848238,3.12,182692
2021-03-01,Nationalt,1068,5848238,3.14,183760
2021-03-02,Nationalt,1301,5848238,3.16,185061
2021-03-03,Nationalt,1029,5848238,3.18,186090
2021-03-04,Nationalt,1813,5848238,3.21,187903
2021-03-05,Nationalt,5716,5848238,3.31,193619
2021-03-06,Nationalt,3983,5848238,3.38,197602
2021-03-07,Nationalt,4338,5848238,3.45,201940
2021-03-08,Nationalt,6462,5848238,3.56,208402
2021-03-09,Nationalt,7238,5848238,3.69,215640
2021-03-10,Nationalt,7255,5848238,3.81,222895
2021-03-11,Nationalt,8024,5848238,3.95,230919
2021-03-12,Nationalt,10621,5848238,4.13,241540
2021-03-13,Nationalt,5933,5848238,4.23,247473
2021-03-14,Nationalt,9384,5848238,4.39,256857
2021-03-15,Nationalt,9899,5848238,4.56,266756
2021-03-16,Nationalt,9489,5848238,4.72,276245
2021-03-17,Nationalt,9199,5848238,4.88,285444
2021-03-18,Nationalt,7266,5848238,5.01,292710
2021-03-19,Nationalt,11790,5848238,5.21,304500
2021-03-20,Nationalt,4838,5848238,5.29,309338
2021-03-21,Nationalt,4680,5848238,5.37,314018
2021-03-22,Nationalt,7800,5848238,5.50,321818
2021-03-23,Nationalt,7608,5848238,5.63,329426
2021-03-24,Nationalt,13513,5848238,5.86,342939
2021-03-25,Nationalt,8456,5848238,6.01,351395
2021-03-26,Nationalt,7882,5848238,6.14,359277
2021-03-27,Nationalt,3129,5848238,6.20,362406
2021-03-28,Nationalt,2822,5848238,6.25,365228
2021-03-29,Nationalt,6241,5848238,6.35,371469
2021-03-30,Nationalt,6084,5848238,6.46,377553
2021-03-31,Nationalt,9837,5848238,6.62,387390
2021-04-01,Nationalt,6970,5848238,6.74,394360
2021-04-02,Nationalt,7035,5848238,6.86,401395
2021-04-03,Nationalt,2194,5848238,6.90,403589
2021-04-04,Nationalt,1792,5848238,6.93,405381
2021-04-05,Nationalt,1331,5848238,6.95,406712
2021-04-06,Nationalt,6145,5848238,7.06,412857
2021-04-07,Nationalt,8323,5848238,7.20,421180
2021-04-08,Nationalt,8636,5848238,7.35,429816
2021-04-09,Nationalt,8746,5848238,7.50,438562
2021-04-10,Nationalt,5474,5848238,7.59,444036
2021-04-11,Nationalt,3940,5848238,7.66,447976
2021-04-12,Nationalt,11579,5848238,7.86,459555
2021-04-13,Nationalt,6283,5848238,7.97,465838
2021-04-14,Nationalt,11222,5848238,8.16,477060
2021-04-15,Nationalt,9155,5848238,8.31,486215
2021-04-16,Nationalt,8229,5848238,8.45,494444
2021-04-17,Nationalt,2755,5848238,8.50,497199
2021-04-18,Nationalt,5158,5848238,8.59,502357
2021-04-19,Nationalt,14445,5848238,8.84,516802
2021-04-20,Nationalt,17062,5848238,9.13,533864
2021-04-21,Nationalt,12829,5848238,9.35,546693
2021-04-22,Nationalt,5416,5848238,9.44,552109
2021-04-23,Nationalt,11261,5848238,9.63,563370
2021-04-24,Nationalt,7621,5848238,9.76,570991
2021-04-25,Nationalt,5295,5848238,9.85,576286
2021-04-26,Nationalt,7889,5848238,9.99,584175
2021-04-27,Nationalt,20953,5848238,10.3,605128
2021-04-28,Nationalt,20651,5848238,10.7,625779
2021-04-29,Nationalt,17984,5848238,11.0,643763
2021-04-30,Nationalt,3953,5848238,11.1,647716
2021-05-01,Nationalt,6134,5848238,11.2,653850
2021-05-02,Nationalt,13810,5848238,11.4,667660
2021-05-03,Nationalt,45806,5848238,12.2,713466
2021-05-04,Nationalt,24827,5848238,12.6,738293
2021-05-05,Nationalt,29296,5848238,13.1,767589
2021-05-06,Nationalt,25593,5848238,13.6,793182
2021-05-07,Nationalt,24642,5848238,14.0,817824
2021-05-08,Nationalt,30876,5848238,14.5,848700
2021-05-09,Nationalt,16717,5848238,14.8,865417
2021-05-10,Nationalt,36178,5848238,15.4,901595
2021-05-11,Nationalt,26289,5848238,15.9,927884
2021-05-12,Nationalt,27016,5848238,16.3,954900
2021-05-13,Nationalt,19703,5848238,16.7,974603
2021-05-14,Nationalt,30814,5848238,17.2,1005417
2021-05-15,Nationalt,19470,5848238,17.5,1024887
2021-05-16,Nationalt,14090,5848238,17.8,1038977
2021-05-17,Nationalt,30176,5848238,18.3,1069153
2021-05-18,Nationalt,30818,5848238,18.8,1099971
2021-05-19,Nationalt,22663,5848238,19.2,1122634
2021-05-20,Nationalt,22350,5848238,19.6,1144984
2021-05-21,Nationalt,19269,5848238,19.9,1164253
2021-05-22,Nationalt,11897,5848238,20.1,1176150
2021-05-23,Nationalt,6191,5848238,20.2,1182341
2021-05-24,Nationalt,9716,5848238,20.4,1192057
2021-05-25,Nationalt,12875,5848238,20.6,1204932
2021-05-26,Nationalt,12125,5848238,20.8,1217057
2021-05-27,Nationalt,12400,5848238,21.0,1229457
2021-05-28,Nationalt,9733,5848238,21.2,1239190
2021-05-29,Nationalt,5218,5848238,21.3,1244408
2021-05-30,Nationalt,6965,5848238,21.4,1251373
2021-05-31,Nationalt,21513,5848238,21.8,1272886
2021-06-01,Nationalt,17685,5848238,22.1,1290571
2021-06-02,Nationalt,17383,5848238,22.4,1307954
2021-06-03,Nationalt,23730,5848238,22.8,1331684
2021-06-04,Nationalt,14299,5848238,23.0,1345983
2021-06-05,Nationalt,7525,5848238,23.1,1353508
2021-06-06,Nationalt,15163,5848238,23.4,1368671
2021-06-07,Nationalt,21865,5848238,23.8,1390536
2021-06-08,Nationalt,24676,5848238,24.2,1415212
2021-06-09,Nationalt,24237,5848238,24.6,1439449
2021-06-10,Nationalt,17519,5848238,24.9,1456968
2021-06-11,Nationalt,18268,5848238,25.2,1475236
2021-06-12,Nationalt,12921,5848238,25.4,1488157
2021-06-13,Nationalt,13420,5848238,25.7,1501577
2021-06-14,Nationalt,22069,5848238,26.1,1523646
2021-06-15,Nationalt,18569,5848238,26.4,1542215
