"Faerdigvacc. dato","regionskode_current","Regionsnavn","Antal faerdigvacc.","regionskode_num"
2021-01-04,1083,Syddanmark,1,1083
2021-01-09,1084,Hovedstaden,1,1084
2021-01-13,1084,Hovedstaden,1,1084
2021-01-15,1084,Hovedstaden,5,1084
2021-01-16,1082,Midtjylland,7,1082
2021-01-16,1085,Sjælland,1,1085
2021-01-17,1081,Nordjylland,1,1081
2021-01-17,1082,Midtjylland,1,1082
2021-01-17,1083,Syddanmark,444,1083
2021-01-17,1084,Hovedstaden,37,1084
2021-01-17,1085,Sjælland,201,1085
2021-01-18,1081,Nordjylland,3,1081
2021-01-18,1082,Midtjylland,166,1082
2021-01-18,1083,Syddanmark,502,1083
2021-01-18,1084,Hovedstaden,136,1084
2021-01-18,1085,Sjælland,1283,1085
2021-01-19,1081,Nordjylland,2,1081
2021-01-19,1082,Midtjylland,9,1082
2021-01-19,1083,Syddanmark,443,1083
2021-01-19,1084,Hovedstaden,166,1084
2021-01-19,1085,Sjælland,1409,1085
2021-01-20,1081,Nordjylland,3,1081
2021-01-20,1082,Midtjylland,98,1082
2021-01-20,1083,Syddanmark,303,1083
2021-01-20,1084,Hovedstaden,126,1084
2021-01-20,1085,Sjælland,1303,1085
2021-01-21,1081,Nordjylland,9,1081
2021-01-21,1082,Midtjylland,577,1082
2021-01-21,1083,Syddanmark,437,1083
2021-01-21,1084,Hovedstaden,115,1084
2021-01-21,1085,Sjælland,1163,1085
2021-01-22,1081,Nordjylland,2462,1081
2021-01-22,1082,Midtjylland,1168,1082
2021-01-22,1083,Syddanmark,1452,1083
2021-01-22,1084,Hovedstaden,76,1084
2021-01-22,1085,Sjælland,449,1085
2021-01-23,1081,Nordjylland,1332,1081
2021-01-23,1082,Midtjylland,1029,1082
2021-01-23,1083,Syddanmark,171,1083
2021-01-23,1084,Hovedstaden,4107,1084
2021-01-23,1085,Sjælland,365,1085
2021-01-24,1081,Nordjylland,628,1081
2021-01-24,1082,Midtjylland,1278,1082
2021-01-24,1083,Syddanmark,218,1083
2021-01-24,1084,Hovedstaden,3990,1084
2021-01-24,1085,Sjælland,275,1085
2021-01-25,1081,Nordjylland,12,1081
2021-01-25,1082,Midtjylland,164,1082
2021-01-25,1083,Syddanmark,1760,1083
2021-01-25,1084,Hovedstaden,246,1084
2021-01-25,1085,Sjælland,262,1085
2021-01-26,1081,Nordjylland,155,1081
2021-01-26,1082,Midtjylland,46,1082
2021-01-26,1083,Syddanmark,949,1083
2021-01-26,1084,Hovedstaden,137,1084
2021-01-26,1085,Sjælland,421,1085
2021-01-27,1081,Nordjylland,223,1081
2021-01-27,1082,Midtjylland,1119,1082
2021-01-27,1083,Syddanmark,1074,1083
2021-01-27,1084,Hovedstaden,631,1084
2021-01-27,1085,Sjælland,1257,1085
2021-01-28,1081,Nordjylland,522,1081
2021-01-28,1082,Midtjylland,1773,1082
2021-01-28,1083,Syddanmark,488,1083
2021-01-28,1084,Hovedstaden,3767,1084
2021-01-28,1085,Sjælland,1521,1085
2021-01-29,1081,Nordjylland,1902,1081
2021-01-29,1082,Midtjylland,3780,1082
2021-01-29,1083,Syddanmark,3015,1083
2021-01-29,1084,Hovedstaden,7524,1084
2021-01-29,1085,Sjælland,1862,1085
2021-01-30,1081,Nordjylland,1822,1081
2021-01-30,1082,Midtjylland,2582,1082
2021-01-30,1083,Syddanmark,2748,1083
2021-01-30,1084,Hovedstaden,4583,1084
2021-01-30,1085,Sjælland,978,1085
2021-01-31,1081,Nordjylland,1575,1081
2021-01-31,1082,Midtjylland,6065,1082
2021-01-31,1083,Syddanmark,1216,1083
2021-01-31,1084,Hovedstaden,2608,1084
2021-01-31,1085,Sjælland,567,1085
2021-02-01,1081,Nordjylland,587,1081
2021-02-01,1082,Midtjylland,1482,1082
2021-02-01,1083,Syddanmark,3084,1083
2021-02-01,1084,Hovedstaden,1890,1084
2021-02-01,1085,Sjælland,755,1085
2021-02-02,1081,Nordjylland,364,1081
2021-02-02,1082,Midtjylland,1002,1082
2021-02-02,1083,Syddanmark,1065,1083
2021-02-02,1084,Hovedstaden,112,1084
2021-02-02,1085,Sjælland,447,1085
2021-02-03,1081,Nordjylland,530,1081
2021-02-03,1082,Midtjylland,1376,1082
2021-02-03,1083,Syddanmark,533,1083
2021-02-03,1084,Hovedstaden,2980,1084
2021-02-03,1085,Sjælland,721,1085
2021-02-04,1081,Nordjylland,298,1081
2021-02-04,1082,Midtjylland,1763,1082
2021-02-04,1083,Syddanmark,745,1083
2021-02-04,1084,Hovedstaden,6484,1084
2021-02-04,1085,Sjælland,1549,1085
2021-02-05,1081,Nordjylland,541,1081
2021-02-05,1082,Midtjylland,2389,1082
2021-02-05,1083,Syddanmark,4442,1083
2021-02-05,1084,Hovedstaden,4874,1084
2021-02-05,1085,Sjælland,1058,1085
2021-02-06,1081,Nordjylland,581,1081
2021-02-06,1082,Midtjylland,483,1082
2021-02-06,1083,Syddanmark,2350,1083
2021-02-06,1084,Hovedstaden,3021,1084
2021-02-06,1085,Sjælland,285,1085
2021-02-07,1081,Nordjylland,1213,1081
2021-02-07,1082,Midtjylland,75,1082
2021-02-07,1083,Syddanmark,1550,1083
2021-02-07,1084,Hovedstaden,569,1084
2021-02-07,1085,Sjælland,209,1085
2021-02-08,1081,Nordjylland,1361,1081
2021-02-08,1082,Midtjylland,2648,1082
2021-02-08,1083,Syddanmark,1697,1083
2021-02-08,1084,Hovedstaden,1136,1084
2021-02-08,1085,Sjælland,147,1085
2021-02-09,1081,Nordjylland,1085,1081
2021-02-09,1082,Midtjylland,2609,1082
2021-02-09,1083,Syddanmark,1064,1083
2021-02-09,1084,Hovedstaden,32,1084
2021-02-09,1085,Sjælland,60,1085
2021-02-10,1081,Nordjylland,702,1081
2021-02-10,1082,Midtjylland,1878,1082
2021-02-10,1083,Syddanmark,95,1083
2021-02-10,1084,Hovedstaden,935,1084
2021-02-10,1085,Sjælland,269,1085
2021-02-11,1081,Nordjylland,245,1081
2021-02-11,1082,Midtjylland,1587,1082
2021-02-11,1083,Syddanmark,149,1083
2021-02-11,1084,Hovedstaden,241,1084
2021-02-11,1085,Sjælland,230,1085
2021-02-12,1081,Nordjylland,91,1081
2021-02-12,1082,Midtjylland,1005,1082
2021-02-12,1083,Syddanmark,1716,1083
2021-02-12,1084,Hovedstaden,4166,1084
2021-02-12,1085,Sjælland,638,1085
2021-02-13,1081,Nordjylland,1,1081
2021-02-13,1082,Midtjylland,36,1082
2021-02-13,1083,Syddanmark,865,1083
2021-02-13,1084,Hovedstaden,7,1084
2021-02-13,1085,Sjælland,57,1085
2021-02-14,1081,Nordjylland,1,1081
2021-02-14,1082,Midtjylland,27,1082
2021-02-14,1083,Syddanmark,558,1083
2021-02-14,1084,Hovedstaden,11,1084
2021-02-14,1085,Sjælland,28,1085
2021-02-15,1081,Nordjylland,34,1081
2021-02-15,1082,Midtjylland,467,1082
2021-02-15,1083,Syddanmark,1063,1083
2021-02-15,1084,Hovedstaden,1375,1084
2021-02-15,1085,Sjælland,189,1085
2021-02-16,1081,Nordjylland,23,1081
2021-02-16,1082,Midtjylland,231,1082
2021-02-16,1083,Syddanmark,560,1083
2021-02-16,1084,Hovedstaden,411,1084
2021-02-16,1085,Sjælland,108,1085
2021-02-17,1081,Nordjylland,15,1081
2021-02-17,1082,Midtjylland,117,1082
2021-02-17,1083,Syddanmark,212,1083
2021-02-17,1084,Hovedstaden,32,1084
2021-02-17,1085,Sjælland,51,1085
2021-02-18,1081,Nordjylland,35,1081
2021-02-18,1082,Midtjylland,67,1082
2021-02-18,1083,Syddanmark,41,1083
2021-02-18,1084,Hovedstaden,73,1084
2021-02-18,1085,Sjælland,92,1085
2021-02-19,1081,Nordjylland,180,1081
2021-02-19,1082,Midtjylland,109,1082
2021-02-19,1083,Syddanmark,87,1083
2021-02-19,1084,Hovedstaden,49,1084
2021-02-19,1085,Sjælland,542,1085
2021-02-20,1081,Nordjylland,141,1081
2021-02-20,1082,Midtjylland,3,1082
2021-02-20,1083,Syddanmark,62,1083
2021-02-20,1084,Hovedstaden,101,1084
2021-02-20,1085,Sjælland,277,1085
2021-02-21,1081,Nordjylland,23,1081
2021-02-21,1082,Midtjylland,43,1082
2021-02-21,1083,Syddanmark,33,1083
2021-02-21,1084,Hovedstaden,105,1084
2021-02-21,1085,Sjælland,157,1085
2021-02-22,1081,Nordjylland,27,1081
2021-02-22,1082,Midtjylland,364,1082
2021-02-22,1083,Syddanmark,184,1083
2021-02-22,1084,Hovedstaden,145,1084
2021-02-22,1085,Sjælland,385,1085
2021-02-23,1081,Nordjylland,24,1081
2021-02-23,1082,Midtjylland,275,1082
2021-02-23,1083,Syddanmark,358,1083
2021-02-23,1084,Hovedstaden,153,1084
2021-02-23,1085,Sjælland,1129,1085
2021-02-24,1081,Nordjylland,8,1081
2021-02-24,1082,Midtjylland,221,1082
2021-02-24,1083,Syddanmark,599,1083
2021-02-24,1084,Hovedstaden,66,1084
2021-02-24,1085,Sjælland,1055,1085
2021-02-25,1081,Nordjylland,17,1081
2021-02-25,1082,Midtjylland,156,1082
2021-02-25,1083,Syddanmark,322,1083
2021-02-25,1084,Hovedstaden,32,1084
2021-02-25,1085,Sjælland,105,1085
2021-02-26,1081,Nordjylland,48,1081
2021-02-26,1082,Midtjylland,390,1082
2021-02-26,1083,Syddanmark,303,1083
2021-02-26,1084,Hovedstaden,61,1084
2021-02-26,1085,Sjælland,205,1085
2021-02-27,1081,Nordjylland,1,1081
2021-02-27,1082,Midtjylland,3,1082
2021-02-27,1083,Syddanmark,116,1083
2021-02-27,1084,Hovedstaden,1114,1084
2021-02-27,1085,Sjælland,216,1085
2021-02-28,1081,Nordjylland,4,1081
2021-02-28,1082,Midtjylland,2,1082
2021-02-28,1083,Syddanmark,29,1083
2021-02-28,1084,Hovedstaden,1144,1084
2021-02-28,1085,Sjælland,232,1085
2021-03-01,1081,Nordjylland,76,1081
2021-03-01,1082,Midtjylland,147,1082
2021-03-01,1083,Syddanmark,376,1083
2021-03-01,1084,Hovedstaden,221,1084
2021-03-01,1085,Sjælland,248,1085
2021-03-02,1081,Nordjylland,69,1081
2021-03-02,1082,Midtjylland,180,1082
2021-03-02,1083,Syddanmark,366,1083
2021-03-02,1084,Hovedstaden,254,1084
2021-03-02,1085,Sjælland,432,1085
2021-03-03,1081,Nordjylland,45,1081
2021-03-03,1082,Midtjylland,217,1082
2021-03-03,1083,Syddanmark,164,1083
2021-03-03,1084,Hovedstaden,40,1084
2021-03-03,1085,Sjælland,563,1085
2021-03-04,1081,Nordjylland,37,1081
2021-03-04,1082,Midtjylland,617,1082
2021-03-04,1083,Syddanmark,177,1083
2021-03-04,1084,Hovedstaden,197,1084
2021-03-04,1085,Sjælland,785,1085
2021-03-05,1081,Nordjylland,688,1081
2021-03-05,1082,Midtjylland,2631,1082
2021-03-05,1083,Syddanmark,502,1083
2021-03-05,1084,Hovedstaden,262,1084
2021-03-05,1085,Sjælland,1633,1085
2021-03-06,1081,Nordjylland,712,1081
2021-03-06,1082,Midtjylland,1538,1082
2021-03-06,1083,Syddanmark,338,1083
2021-03-06,1084,Hovedstaden,94,1084
2021-03-06,1085,Sjælland,1301,1085
2021-03-07,1081,Nordjylland,617,1081
2021-03-07,1082,Midtjylland,1123,1082
2021-03-07,1083,Syddanmark,623,1083
2021-03-07,1084,Hovedstaden,319,1084
2021-03-07,1085,Sjælland,1656,1085
2021-03-08,1081,Nordjylland,606,1081
2021-03-08,1082,Midtjylland,3444,1082
2021-03-08,1083,Syddanmark,798,1083
2021-03-08,1084,Hovedstaden,237,1084
2021-03-08,1085,Sjælland,1377,1085
2021-03-09,1081,Nordjylland,549,1081
2021-03-09,1082,Midtjylland,2779,1082
2021-03-09,1083,Syddanmark,779,1083
2021-03-09,1084,Hovedstaden,1465,1084
2021-03-09,1085,Sjælland,1666,1085
2021-03-10,1081,Nordjylland,372,1081
2021-03-10,1082,Midtjylland,1767,1082
2021-03-10,1083,Syddanmark,853,1083
2021-03-10,1084,Hovedstaden,1698,1084
2021-03-10,1085,Sjælland,2565,1085
2021-03-11,1081,Nordjylland,795,1081
2021-03-11,1082,Midtjylland,1268,1082
2021-03-11,1083,Syddanmark,380,1083
2021-03-11,1084,Hovedstaden,4408,1084
2021-03-11,1085,Sjælland,1173,1085
2021-03-12,1081,Nordjylland,1522,1081
2021-03-12,1082,Midtjylland,1010,1082
2021-03-12,1083,Syddanmark,2248,1083
2021-03-12,1084,Hovedstaden,4856,1084
2021-03-12,1085,Sjælland,985,1085
2021-03-13,1081,Nordjylland,2391,1081
2021-03-13,1082,Midtjylland,586,1082
2021-03-13,1083,Syddanmark,1944,1083
2021-03-13,1084,Hovedstaden,86,1084
2021-03-13,1085,Sjælland,926,1085
2021-03-14,1081,Nordjylland,2265,1081
2021-03-14,1082,Midtjylland,209,1082
2021-03-14,1083,Syddanmark,1983,1083
2021-03-14,1084,Hovedstaden,3240,1084
2021-03-14,1085,Sjælland,1687,1085
2021-03-15,1081,Nordjylland,1767,1081
2021-03-15,1082,Midtjylland,2802,1082
2021-03-15,1083,Syddanmark,1834,1083
2021-03-15,1084,Hovedstaden,2767,1084
2021-03-15,1085,Sjælland,729,1085
2021-03-16,1081,Nordjylland,59,1081
2021-03-16,1082,Midtjylland,3533,1082
2021-03-16,1083,Syddanmark,1464,1083
2021-03-16,1084,Hovedstaden,3544,1084
2021-03-16,1085,Sjælland,889,1085
2021-03-17,1081,Nordjylland,41,1081
2021-03-17,1082,Midtjylland,2836,1082
2021-03-17,1083,Syddanmark,1048,1083
2021-03-17,1084,Hovedstaden,4440,1084
2021-03-17,1085,Sjælland,834,1085
2021-03-18,1081,Nordjylland,105,1081
2021-03-18,1082,Midtjylland,1164,1082
2021-03-18,1083,Syddanmark,1030,1083
2021-03-18,1084,Hovedstaden,4420,1084
2021-03-18,1085,Sjælland,547,1085
2021-03-19,1081,Nordjylland,549,1081
2021-03-19,1082,Midtjylland,3074,1082
2021-03-19,1083,Syddanmark,3878,1083
2021-03-19,1084,Hovedstaden,1171,1084
2021-03-19,1085,Sjælland,3118,1085
2021-03-20,1081,Nordjylland,1770,1081
2021-03-20,1082,Midtjylland,23,1082
2021-03-20,1083,Syddanmark,2622,1083
2021-03-20,1084,Hovedstaden,83,1084
2021-03-20,1085,Sjælland,340,1085
2021-03-21,1081,Nordjylland,5,1081
2021-03-21,1082,Midtjylland,13,1082
2021-03-21,1083,Syddanmark,2510,1083
2021-03-21,1084,Hovedstaden,2088,1084
2021-03-21,1085,Sjælland,64,1085
2021-03-22,1081,Nordjylland,1402,1081
2021-03-22,1082,Midtjylland,2776,1082
2021-03-22,1083,Syddanmark,2220,1083
2021-03-22,1084,Hovedstaden,84,1084
2021-03-22,1085,Sjælland,1318,1085
2021-03-23,1081,Nordjylland,2256,1081
2021-03-23,1082,Midtjylland,3385,1082
2021-03-23,1083,Syddanmark,1365,1083
2021-03-23,1084,Hovedstaden,104,1084
2021-03-23,1085,Sjælland,498,1085
2021-03-24,1081,Nordjylland,429,1081
2021-03-24,1082,Midtjylland,1739,1082
2021-03-24,1083,Syddanmark,1218,1083
2021-03-24,1084,Hovedstaden,8615,1084
2021-03-24,1085,Sjælland,1512,1085
2021-03-25,1081,Nordjylland,213,1081
2021-03-25,1082,Midtjylland,1741,1082
2021-03-25,1083,Syddanmark,1281,1083
2021-03-25,1084,Hovedstaden,4545,1084
2021-03-25,1085,Sjælland,676,1085
2021-03-26,1081,Nordjylland,40,1081
2021-03-26,1082,Midtjylland,1412,1082
2021-03-26,1083,Syddanmark,3326,1083
2021-03-26,1084,Hovedstaden,2696,1084
2021-03-26,1085,Sjælland,408,1085
2021-03-27,1081,Nordjylland,279,1081
2021-03-27,1082,Midtjylland,177,1082
2021-03-27,1083,Syddanmark,2380,1083
2021-03-27,1084,Hovedstaden,42,1084
2021-03-27,1085,Sjælland,251,1085
2021-03-28,1081,Nordjylland,22,1081
2021-03-28,1082,Midtjylland,163,1082
2021-03-28,1083,Syddanmark,2590,1083
2021-03-28,1084,Hovedstaden,33,1084
2021-03-28,1085,Sjælland,14,1085
2021-03-29,1081,Nordjylland,111,1081
2021-03-29,1082,Midtjylland,2447,1082
2021-03-29,1083,Syddanmark,2506,1083
2021-03-29,1084,Hovedstaden,562,1084
2021-03-29,1085,Sjælland,615,1085
2021-03-30,1081,Nordjylland,316,1081
2021-03-30,1082,Midtjylland,2966,1082
2021-03-30,1083,Syddanmark,1996,1083
2021-03-30,1084,Hovedstaden,280,1084
2021-03-30,1085,Sjælland,526,1085
2021-03-31,1081,Nordjylland,1820,1081
2021-03-31,1082,Midtjylland,1670,1082
2021-03-31,1083,Syddanmark,1263,1083
2021-03-31,1084,Hovedstaden,3806,1084
2021-03-31,1085,Sjælland,1278,1085
2021-04-01,1081,Nordjylland,36,1081
2021-04-01,1082,Midtjylland,380,1082
2021-04-01,1083,Syddanmark,826,1083
