"Faerdigvacc. dato","regionskode_current","Regionsnavn","Antal faerdigvacc.","regionskode_num"
2021-04-01,1084,Hovedstaden,4727,1084
2021-04-01,1085,Sjælland,1001,1085
2021-04-02,1081,Nordjylland,553,1081
2021-04-02,1082,Midtjylland,333,1082
2021-04-02,1083,Syddanmark,1945,1083
2021-04-02,1084,Hovedstaden,3735,1084
2021-04-02,1085,Sjælland,469,1085
2021-04-03,1081,Nordjylland,428,1081
2021-04-03,1082,Midtjylland,42,1082
2021-04-03,1083,Syddanmark,1045,1083
2021-04-03,1084,Hovedstaden,87,1084
2021-04-03,1085,Sjælland,592,1085
2021-04-04,1081,Nordjylland,510,1081
2021-04-04,1082,Midtjylland,57,1082
2021-04-04,1083,Syddanmark,930,1083
2021-04-04,1084,Hovedstaden,39,1084
2021-04-04,1085,Sjælland,256,1085
2021-04-05,1081,Nordjylland,609,1081
2021-04-05,1082,Midtjylland,151,1082
2021-04-05,1083,Syddanmark,523,1083
2021-04-05,1084,Hovedstaden,35,1084
2021-04-05,1085,Sjælland,13,1085
2021-04-06,1081,Nordjylland,129,1081
2021-04-06,1082,Midtjylland,2004,1082
2021-04-06,1083,Syddanmark,1886,1083
2021-04-06,1084,Hovedstaden,185,1084
2021-04-06,1085,Sjælland,1941,1085
2021-04-07,1081,Nordjylland,495,1081
2021-04-07,1082,Midtjylland,3871,1082
2021-04-07,1083,Syddanmark,1581,1083
2021-04-07,1084,Hovedstaden,583,1084
2021-04-07,1085,Sjælland,1793,1085
2021-04-08,1081,Nordjylland,973,1081
2021-04-08,1082,Midtjylland,2455,1082
2021-04-08,1083,Syddanmark,1591,1083
2021-04-08,1084,Hovedstaden,1679,1084
2021-04-08,1085,Sjælland,1938,1085
2021-04-09,1081,Nordjylland,1978,1081
2021-04-09,1082,Midtjylland,1303,1082
2021-04-09,1083,Syddanmark,1712,1083
2021-04-09,1084,Hovedstaden,3421,1084
2021-04-09,1085,Sjælland,332,1085
2021-04-10,1081,Nordjylland,1017,1081
2021-04-10,1082,Midtjylland,735,1082
2021-04-10,1083,Syddanmark,1302,1083
2021-04-10,1084,Hovedstaden,1297,1084
2021-04-10,1085,Sjælland,1123,1085
2021-04-11,1081,Nordjylland,1104,1081
2021-04-11,1082,Midtjylland,787,1082
2021-04-11,1083,Syddanmark,1085,1083
2021-04-11,1084,Hovedstaden,135,1084
2021-04-11,1085,Sjælland,829,1085
2021-04-12,1081,Nordjylland,64,1081
2021-04-12,1082,Midtjylland,1894,1082
2021-04-12,1083,Syddanmark,1551,1083
2021-04-12,1084,Hovedstaden,6891,1084
2021-04-12,1085,Sjælland,1179,1085
2021-04-13,1081,Nordjylland,445,1081
2021-04-13,1082,Midtjylland,1751,1082
2021-04-13,1083,Syddanmark,1223,1083
2021-04-13,1084,Hovedstaden,1076,1084
2021-04-13,1085,Sjælland,1788,1085
2021-04-14,1081,Nordjylland,708,1081
2021-04-14,1082,Midtjylland,2403,1082
2021-04-14,1083,Syddanmark,1554,1083
2021-04-14,1084,Hovedstaden,4557,1084
2021-04-14,1085,Sjælland,2000,1085
2021-04-15,1081,Nordjylland,1477,1081
2021-04-15,1082,Midtjylland,3077,1082
2021-04-15,1083,Syddanmark,1392,1083
2021-04-15,1084,Hovedstaden,1560,1084
2021-04-15,1085,Sjælland,1649,1085
2021-04-16,1081,Nordjylland,949,1081
2021-04-16,1082,Midtjylland,1449,1082
2021-04-16,1083,Syddanmark,1558,1083
2021-04-16,1084,Hovedstaden,3040,1084
2021-04-16,1085,Sjælland,1233,1085
2021-04-17,1081,Nordjylland,17,1081
2021-04-17,1082,Midtjylland,42,1082
2021-04-17,1083,Syddanmark,915,1083
2021-04-17,1084,Hovedstaden,202,1084
2021-04-17,1085,Sjælland,1579,1085
2021-04-18,1081,Nordjylland,3006,1081
2021-04-18,1082,Midtjylland,32,1082
2021-04-18,1083,Syddanmark,626,1083
2021-04-18,1084,Hovedstaden,180,1084
2021-04-18,1085,Sjælland,1314,1085
2021-04-19,1081,Nordjylland,2609,1081
2021-04-19,1082,Midtjylland,4865,1082
2021-04-19,1083,Syddanmark,1561,1083
2021-04-19,1084,Hovedstaden,2058,1084
2021-04-19,1085,Sjælland,3352,1085
2021-04-20,1081,Nordjylland,869,1081
2021-04-20,1082,Midtjylland,4539,1082
2021-04-20,1083,Syddanmark,1778,1083
2021-04-20,1084,Hovedstaden,5023,1084
2021-04-20,1085,Sjælland,4853,1085
2021-04-21,1081,Nordjylland,50,1081
2021-04-21,1082,Midtjylland,5711,1082
2021-04-21,1083,Syddanmark,1003,1083
2021-04-21,1084,Hovedstaden,3769,1084
2021-04-21,1085,Sjælland,2296,1085
2021-04-22,1081,Nordjylland,54,1081
2021-04-22,1082,Midtjylland,2658,1082
2021-04-22,1083,Syddanmark,1557,1083
2021-04-22,1084,Hovedstaden,135,1084
2021-04-22,1085,Sjælland,1012,1085
2021-04-23,1081,Nordjylland,50,1081
2021-04-23,1082,Midtjylland,1919,1082
2021-04-23,1083,Syddanmark,1941,1083
2021-04-23,1084,Hovedstaden,6972,1084
2021-04-23,1085,Sjælland,379,1085
2021-04-24,1081,Nordjylland,896,1081
2021-04-24,1082,Midtjylland,68,1082
2021-04-24,1083,Syddanmark,1606,1083
2021-04-24,1084,Hovedstaden,1992,1084
2021-04-24,1085,Sjælland,3059,1085
2021-04-25,1081,Nordjylland,495,1081
2021-04-25,1082,Midtjylland,28,1082
2021-04-25,1083,Syddanmark,917,1083
2021-04-25,1084,Hovedstaden,316,1084
2021-04-25,1085,Sjælland,3539,1085
2021-04-26,1081,Nordjylland,1043,1081
2021-04-26,1082,Midtjylland,831,1082
2021-04-26,1083,Syddanmark,1628,1083
2021-04-26,1084,Hovedstaden,3163,1084
2021-04-26,1085,Sjælland,1224,1085
2021-04-27,1081,Nordjylland,2495,1081
2021-04-27,1082,Midtjylland,3776,1082
2021-04-27,1083,Syddanmark,1963,1083
2021-04-27,1084,Hovedstaden,9720,1084
2021-04-27,1085,Sjælland,2999,1085
2021-04-28,1081,Nordjylland,1750,1081
2021-04-28,1082,Midtjylland,5862,1082
2021-04-28,1083,Syddanmark,3791,1083
2021-04-28,1084,Hovedstaden,8205,1084
2021-04-28,1085,Sjælland,1043,1085
2021-04-29,1081,Nordjylland,1170,1081
2021-04-29,1082,Midtjylland,5490,1082
2021-04-29,1083,Syddanmark,2208,1083
2021-04-29,1084,Hovedstaden,7228,1084
2021-04-29,1085,Sjælland,1888,1085
2021-04-30,1081,Nordjylland,805,1081
2021-04-30,1082,Midtjylland,654,1082
2021-04-30,1083,Syddanmark,1867,1083
2021-04-30,1084,Hovedstaden,212,1084
2021-04-30,1085,Sjælland,415,1085
2021-05-01,1081,Nordjylland,770,1081
2021-05-01,1082,Midtjylland,73,1082
2021-05-01,1083,Syddanmark,2190,1083
2021-05-01,1084,Hovedstaden,467,1084
2021-05-01,1085,Sjælland,2634,1085
2021-05-02,1081,Nordjylland,1181,1081
2021-05-02,1082,Midtjylland,34,1082
2021-05-02,1083,Syddanmark,1976,1083
2021-05-02,1084,Hovedstaden,8604,1084
2021-05-02,1085,Sjælland,2015,1085
2021-05-03,1081,Nordjylland,9888,1081
2021-05-03,1082,Midtjylland,8857,1082
2021-05-03,1083,Syddanmark,4084,1083
2021-05-03,1084,Hovedstaden,7977,1084
2021-05-03,1085,Sjælland,15000,1085
2021-05-04,1081,Nordjylland,1046,1081
2021-05-04,1082,Midtjylland,8376,1082
2021-05-04,1083,Syddanmark,4030,1083
2021-05-04,1084,Hovedstaden,8656,1084
2021-05-04,1085,Sjælland,2719,1085
2021-05-05,1081,Nordjylland,1423,1081
2021-05-05,1082,Midtjylland,8872,1082
2021-05-05,1083,Syddanmark,4213,1083
2021-05-05,1084,Hovedstaden,12017,1084
2021-05-05,1085,Sjælland,2771,1085
2021-05-06,1081,Nordjylland,617,1081
2021-05-06,1082,Midtjylland,7551,1082
2021-05-06,1083,Syddanmark,5131,1083
2021-05-06,1084,Hovedstaden,10021,1084
2021-05-06,1085,Sjælland,2273,1085
2021-05-07,1081,Nordjylland,1371,1081
2021-05-07,1082,Midtjylland,5949,1082
2021-05-07,1083,Syddanmark,5578,1083
2021-05-07,1084,Hovedstaden,7546,1084
2021-05-07,1085,Sjælland,4198,1085
2021-05-08,1081,Nordjylland,1231,1081
2021-05-08,1082,Midtjylland,236,1082
2021-05-08,1083,Syddanmark,3837,1083
2021-05-08,1084,Hovedstaden,19712,1084
2021-05-08,1085,Sjælland,5860,1085
2021-05-09,1081,Nordjylland,1817,1081
2021-05-09,1082,Midtjylland,79,1082
2021-05-09,1083,Syddanmark,2903,1083
2021-05-09,1084,Hovedstaden,8162,1084
2021-05-09,1085,Sjælland,3756,1085
2021-05-10,1081,Nordjylland,4733,1081
2021-05-10,1082,Midtjylland,7069,1082
2021-05-10,1083,Syddanmark,14276,1083
2021-05-10,1084,Hovedstaden,5552,1084
2021-05-10,1085,Sjælland,4548,1085
2021-05-11,1081,Nordjylland,3657,1081
2021-05-11,1082,Midtjylland,7597,1082
2021-05-11,1083,Syddanmark,5745,1083
2021-05-11,1084,Hovedstaden,6169,1084
2021-05-11,1085,Sjælland,3121,1085
2021-05-12,1081,Nordjylland,1952,1081
2021-05-12,1082,Midtjylland,9343,1082
2021-05-12,1083,Syddanmark,6273,1083
2021-05-12,1084,Hovedstaden,5589,1084
2021-05-12,1085,Sjælland,3859,1085
2021-05-13,1081,Nordjylland,1839,1081
2021-05-13,1082,Midtjylland,2668,1082
2021-05-13,1083,Syddanmark,2347,1083
2021-05-13,1084,Hovedstaden,10626,1084
2021-05-13,1085,Sjælland,2223,1085
2021-05-14,1081,Nordjylland,3238,1081
2021-05-14,1082,Midtjylland,9091,1082
2021-05-14,1083,Syddanmark,7041,1083
2021-05-14,1084,Hovedstaden,7779,1084
2021-05-14,1085,Sjælland,3665,1085
2021-05-15,1081,Nordjylland,5382,1081
2021-05-15,1082,Midtjylland,319,1082
2021-05-15,1083,Syddanmark,4640,1083
2021-05-15,1084,Hovedstaden,6872,1084
2021-05-15,1085,Sjælland,2257,1085
2021-05-16,1081,Nordjylland,4566,1081
2021-05-16,1082,Midtjylland,239,1082
2021-05-16,1083,Syddanmark,3860,1083
2021-05-16,1084,Hovedstaden,3453,1084
2021-05-16,1085,Sjælland,1972,1085
2021-05-17,1081,Nordjylland,2718,1081
2021-05-17,1082,Midtjylland,10113,1082
2021-05-17,1083,Syddanmark,6759,1083
2021-05-17,1084,Hovedstaden,7143,1084
2021-05-17,1085,Sjælland,3443,1085
2021-05-18,1081,Nordjylland,2080,1081
2021-05-18,1082,Midtjylland,7817,1082
2021-05-18,1083,Syddanmark,9375,1083
2021-05-18,1084,Hovedstaden,8934,1084
2021-05-18,1085,Sjælland,2612,1085
2021-05-19,1081,Nordjylland,3629,1081
2021-05-19,1082,Midtjylland,6896,1082
2021-05-19,1083,Syddanmark,4839,1083
2021-05-19,1084,Hovedstaden,2745,1084
2021-05-19,1085,Sjælland,4554,1085
2021-05-20,1081,Nordjylland,2187,1081
2021-05-20,1082,Midtjylland,7115,1082
2021-05-20,1083,Syddanmark,5267,1083
2021-05-20,1084,Hovedstaden,5888,1084
2021-05-20,1085,Sjælland,1893,1085
2021-05-21,1081,Nordjylland,1126,1081
2021-05-21,1082,Midtjylland,3195,1082
2021-05-21,1083,Syddanmark,6730,1083
2021-05-21,1084,Hovedstaden,6905,1084
2021-05-21,1085,Sjælland,1313,1085
2021-05-22,1081,Nordjylland,2866,1081
2021-05-22,1082,Midtjylland,113,1082
2021-05-22,1083,Syddanmark,4356,1083
2021-05-22,1084,Hovedstaden,3001,1084
2021-05-22,1085,Sjælland,1561,1085
2021-05-23,1081,Nordjylland,3,1081
2021-05-23,1082,Midtjylland,303,1082
2021-05-23,1083,Syddanmark,3466,1083
2021-05-23,1084,Hovedstaden,1245,1084
2021-05-23,1085,Sjælland,1174,1085
2021-05-24,1081,Nordjylland,3005,1081
2021-05-24,1082,Midtjylland,1170,1082
2021-05-24,1083,Syddanmark,3690,1083
2021-05-24,1084,Hovedstaden,983,1084
2021-05-24,1085,Sjælland,868,1085
2021-05-25,1081,Nordjylland,64,1081
2021-05-25,1082,Midtjylland,3448,1082
2021-05-25,1083,Syddanmark,6276,1083
2021-05-25,1084,Hovedstaden,2271,1084
2021-05-25,1085,Sjælland,816,1085
2021-05-26,1081,Nordjylland,154,1081
2021-05-26,1082,Midtjylland,2986,1082
2021-05-26,1083,Syddanmark,5410,1083
2021-05-26,1084,Hovedstaden,2803,1084
2021-05-26,1085,Sjælland,772,1085
2021-05-27,1081,Nordjylland,1725,1081
2021-05-27,1082,Midtjylland,2582,1082
2021-05-27,1083,Syddanmark,3466,1083
2021-05-27,1084,Hovedstaden,3026,1084
2021-05-27,1085,Sjælland,1601,1085
2021-05-28,1081,Nordjylland,1969,1081
2021-05-28,1082,Midtjylland,1867,1082
2021-05-28,1083,Syddanmark,2771,1083
2021-05-28,1084,Hovedstaden,1632,1084
2021-05-28,1085,Sjælland,1494,1085
2021-05-29,1081,Nordjylland,304,1081
2021-05-29,1082,Midtjylland,86,1082
2021-05-29,1083,Syddanmark,1667,1083
2021-05-29,1084,Hovedstaden,1778,1084
2021-05-29,1085,Sjælland,1383,1085
2021-05-30,1081,Nordjylland,7,1081
2021-05-30,1082,Midtjylland,84,1082
2021-05-30,1083,Syddanmark,1492,1083
2021-05-30,1084,Hovedstaden,4177,1084
2021-05-30,1085,Sjælland,1205,1085
2021-05-31,1081,Nordjylland,160,1081
2021-05-31,1082,Midtjylland,5660,1082
2021-05-31,1083,Syddanmark,2622,1083
2021-05-31,1084,Hovedstaden,8724,1084
2021-05-31,1085,Sjælland,4347,1085
2021-06-01,1081,Nordjylland,316,1081
2021-06-01,1082,Midtjylland,3298,1082
2021-06-01,1083,Syddanmark,4125,1083
2021-06-01,1084,Hovedstaden,6873,1084
2021-06-01,1085,Sjælland,3073,1085
2021-06-02,1081,Nordjylland,104,1081
2021-06-02,1082,Midtjylland,5050,1082
2021-06-02,1083,Syddanmark,2638,1083
2021-06-02,1084,Hovedstaden,6851,1084
2021-06-02,1085,Sjælland,2740,1085
2021-06-03,1081,Nordjylland,1506,1081
2021-06-03,1082,Midtjylland,6483,1082
2021-06-03,1083,Syddanmark,2550,1083
2021-06-03,1084,Hovedstaden,11286,1084
2021-06-03,1085,Sjælland,1905,1085
2021-06-04,1081,Nordjylland,1191,1081
2021-06-04,1082,Midtjylland,3955,1082
2021-06-04,1083,Syddanmark,3033,1083
2021-06-04,1084,Hovedstaden,2731,1084
2021-06-04,1085,Sjælland,3389,1085
2021-06-05,1081,Nordjylland,2157,1081
2021-06-05,1082,Midtjylland,395,1082
2021-06-05,1083,Syddanmark,1701,1083
2021-06-05,1084,Hovedstaden,1192,1084
2021-06-05,1085,Sjælland,2080,1085
2021-06-06,1081,Nordjylland,1808,1081
2021-06-06,1082,Midtjylland,574,1082
2021-06-06,1083,Syddanmark,1851,1083
2021-06-06,1084,Hovedstaden,8777,1084
2021-06-06,1085,Sjælland,2153,1085
2021-06-07,1081,Nordjylland,685,1081
2021-06-07,1082,Midtjylland,5277,1082
2021-06-07,1083,Syddanmark,2878,1083
2021-06-07,1084,Hovedstaden,11876,1084
2021-06-07,1085,Sjælland,1149,1085
2021-06-08,1081,Nordjylland,3637,1081
2021-06-08,1082,Midtjylland,5937,1082
2021-06-08,1083,Syddanmark,3313,1083
2021-06-08,1084,Hovedstaden,8285,1084
2021-06-08,1085,Sjælland,3504,1085
2021-06-09,1081,Nordjylland,3342,1081
2021-06-09,1082,Midtjylland,4665,1082
2021-06-09,1083,Syddanmark,3847,1083
2021-06-09,1084,Hovedstaden,9262,1084
2021-06-09,1085,Sjælland,3121,1085
2021-06-10,1081,Nordjylland,597,1081
2021-06-10,1082,Midtjylland,7882,1082
2021-06-10,1083,Syddanmark,4429,1083
2021-06-10,1084,Hovedstaden,2434,1084
2021-06-10,1085,Sjælland,2177,1085
2021-06-11,1081,Nordjylland,2715,1081
2021-06-11,1082,Midtjylland,5788,1082
2021-06-11,1083,Syddanmark,4326,1083
2021-06-11,1084,Hovedstaden,2438,1084
2021-06-11,1085,Sjælland,3001,1085
2021-06-12,1081,Nordjylland,3599,1081
2021-06-12,1082,Midtjylland,1810,1082
2021-06-12,1083,Syddanmark,3072,1083
2021-06-12,1084,Hovedstaden,1473,1084
2021-06-12,1085,Sjælland,2967,1085
2021-06-13,1081,Nordjylland,2241,1081
2021-06-13,1082,Midtjylland,763,1082
2021-06-13,1083,Syddanmark,3580,1083
2021-06-13,1084,Hovedstaden,1918,1084
2021-06-13,1085,Sjælland,4918,1085
2021-06-14,1081,Nordjylland,2227,1081
2021-06-14,1082,Midtjylland,11093,1082
2021-06-14,1083,Syddanmark,3327,1083
2021-06-14,1084,Hovedstaden,2041,1084
2021-06-14,1085,Sjælland,3381,1085
2021-06-15,1081,Nordjylland,2273,1081
2021-06-15,1082,Midtjylland,8876,1082
2021-06-15,1083,Syddanmark,4045,1083
2021-06-15,1084,Hovedstaden,1532,1084
2021-06-15,1085,Sjælland,1843,1085
